imagem,real,pred,confidence,correta,olhos,nariz,boca,fundo
data/dataset_10/val\Abdullah_Gul\Abdullah_Gul_0001.jpg,Abdullah_Gul,Abdullah_Gul,0.9275833964347839,1,12.382602972076645,6.806786922133379,16.273854518334137,64.53675558745584
data/dataset_10/val\Abdullah_Gul\Abdullah_Gul_0004.jpg,Abdullah_Gul,Abdullah_Gul,0.976097583770752,1,5.263189864682349,6.840744859666138,21.84038247044594,66.05568280520558
data/dataset_10/val\Abdullah_Gul\Abdullah_Gul_0008.jpg,Abdullah_Gul,Abdullah_Gul,0.9027854204177856,1,4.919059320701986,6.826421768244942,25.282318881823116,62.97220002922995
data/dataset_10/val\Abdullah_Gul\Abdullah_Gul_0009.jpg,Abdullah_Gul,Abdullah_Gul,0.31603485345840454,1,2.6308088255287387,4.116246448129836,25.9512945277191,67.30165019862233
data/dataset_10/val\Adrien_Brody\Adrien_Brody_0001.jpg,Adrien_Brody,Adrien_Brody,0.9234214425086975,1,21.465200703873688,19.44209164993791,13.733127829470126,45.35957981671827
data/dataset_10/val\Adrien_Brody\Adrien_Brody_0002.jpg,Adrien_Brody,Alvaro_Uribe,0.7417151927947998,0,24.328543255670745,19.497844493071444,8.061632202730538,48.11198004852727
data/dataset_10/val\Adrien_Brody\Adrien_Brody_0011.jpg,Adrien_Brody,Adrien_Brody,0.5208497047424316,1,15.246271458849574,15.084101573764777,15.278164565218782,54.391462402166866
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0002.jpg,Alejandro_Toledo,Alejandro_Toledo,0.5821751356124878,1,18.471787241777804,21.232668410182338,17.738772362379624,42.556771985660234
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0006.jpg,Alejandro_Toledo,Arnold_Schwarzenegger,0.2866378128528595,0,20.52209823328682,11.883194407703042,5.656245598860577,61.938461760149565
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0007.jpg,Alejandro_Toledo,Alejandro_Toledo,0.996383786201477,1,10.180160954938032,12.266240593079063,20.38087910516163,57.172719346821275
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0008.jpg,Alejandro_Toledo,Alejandro_Toledo,0.5444775223731995,1,5.112967518529038,9.309458562432312,24.853981126716675,60.72359279232197
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0009.jpg,Alejandro_Toledo,Alejandro_Toledo,0.3707410395145416,1,8.380890032505036,10.813246056356034,20.417771775683825,60.3880921354551
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0015.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9150640368461609,1,14.073156074647471,14.2888843194387,18.434546080353357,53.20341352556047
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0016.jpg,Alejandro_Toledo,Alejandro_Toledo,0.8404670357704163,1,14.421673577015307,12.124499533778877,19.13696593015903,54.31686095904679
data/dataset_10/val\Alejandro_Toledo\Alejandro_Toledo_0018.jpg,Alejandro_Toledo,Alejandro_Toledo,0.23896828293800354,1,16.715557361977428,10.86219757291675,13.583308351171915,58.838936713933904
data/dataset_10/val\Alvaro_Uribe\Alvaro_Uribe_0002.jpg,Alvaro_Uribe,Jiang_Zemin,0.7788164615631104,0,17.483671256528392,9.157335453480599,12.779332375400319,60.57966091459069
data/dataset_10/val\Alvaro_Uribe\Alvaro_Uribe_0005.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9993345141410828,1,14.212073114151467,14.731042565968496,17.191406196716304,53.86547812316373
data/dataset_10/val\Alvaro_Uribe\Alvaro_Uribe_0008.jpg,Alvaro_Uribe,Alvaro_Uribe,0.8291757702827454,1,17.90345879945607,16.704905785978724,13.775964253854207,51.615671160710995
data/dataset_10/val\Alvaro_Uribe\Alvaro_Uribe_0016.jpg,Alvaro_Uribe,Alvaro_Uribe,0.8508596420288086,1,11.993889836429172,12.970657238441786,17.291013553893116,57.74443937123593
data/dataset_10/val\Alvaro_Uribe\Alvaro_Uribe_0018.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9973757266998291,1,18.57329073603934,17.858830821181538,13.46571560573747,50.102162837041654
data/dataset_10/val\Alvaro_Uribe\Alvaro_Uribe_0024.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9994781613349915,1,10.358399645102285,9.872193991132672,17.982886664897975,61.78651969886707
data/dataset_10/val\Alvaro_Uribe\Alvaro_Uribe_0035.jpg,Alvaro_Uribe,Alvaro_Uribe,0.8758361339569092,1,10.02615869282838,10.143206544441307,18.328349417170752,61.50228534555956
data/dataset_10/val\Amelie_Mauresmo\Amelie_Mauresmo_0001.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.8994930386543274,1,15.089619062256162,15.040489494515253,17.96775262058018,51.90213882264841
data/dataset_10/val\Amelie_Mauresmo\Amelie_Mauresmo_0004.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.6890742182731628,1,15.530551616533906,13.567945838695332,14.513964966073194,56.38753757869757
data/dataset_10/val\Amelie_Mauresmo\Amelie_Mauresmo_0008.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.8291429877281189,1,13.7101742982678,16.07582737686619,17.446492186366928,52.76750613849908
data/dataset_10/val\Amelie_Mauresmo\Amelie_Mauresmo_0009.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.9882899522781372,1,16.51473415133165,15.045167352307843,14.916678031494662,53.52342046486584
data/dataset_10/val\Amelie_Mauresmo\Amelie_Mauresmo_0021.jpg,Amelie_Mauresmo,Arnold_Schwarzenegger,0.24618901312351227,0,23.91982680179888,13.627975808449364,5.660328991247163,56.79186839850459
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0002.jpg,Andre_Agassi,Andre_Agassi,0.9363498091697693,1,15.366842698504303,10.925168107471602,16.464452016707384,57.24353717731671
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0004.jpg,Andre_Agassi,Guillermo_Coria,0.1585724949836731,0,22.49100703327805,15.762923944575592,7.178500263403435,54.56756875874292
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0005.jpg,Andre_Agassi,Lleyton_Hewitt,0.32372239232063293,0,13.524889312785437,15.84906267673537,20.500410886932734,50.12563712354646
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0008.jpg,Andre_Agassi,Andre_Agassi,0.8878531455993652,1,12.294686376116468,11.527349477636898,16.196213554641783,59.98175059160485
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0015.jpg,Andre_Agassi,Andre_Agassi,0.9883463978767395,1,20.15695433606868,17.92746684569498,10.162576263615053,51.75300255462129
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0016.jpg,Andre_Agassi,Andre_Agassi,0.9825506806373596,1,15.537381946093033,13.066604211091029,13.348777471902993,58.04723637091294
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0018.jpg,Andre_Agassi,Andre_Agassi,0.9276755452156067,1,15.338135866927376,13.747250836947673,13.63042507601137,57.28418822011358
data/dataset_10/val\Andre_Agassi\Andre_Agassi_0024.jpg,Andre_Agassi,John_Howard,0.4757498502731323,0,16.567091284173365,15.94706667707106,15.930179303735086,51.55566273502049
data/dataset_10/val\Andy_Roddick\Andy_Roddick_0001.jpg,Andy_Roddick,Jiang_Zemin,0.43345457315444946,0,15.878207135779828,6.599526646524535,14.296564764906545,63.22570145278909
data/dataset_10/val\Andy_Roddick\Andy_Roddick_0002.jpg,Andy_Roddick,Andy_Roddick,0.4036152958869934,1,11.592286171310676,10.935848615502344,17.537221010316603,59.93464420287037
data/dataset_10/val\Andy_Roddick\Andy_Roddick_0011.jpg,Andy_Roddick,Pete_Sampras,0.5747615694999695,0,18.5591443856134,13.907319063145941,8.967518804575525,58.56601774666513
data/dataset_10/val\Angelina_Jolie\Angelina_Jolie_0001.jpg,Angelina_Jolie,Angelina_Jolie,0.8565957546234131,1,17.34880836376327,13.994025179423925,18.573427895636414,50.083738561176396
data/dataset_10/val\Angelina_Jolie\Angelina_Jolie_0004.jpg,Angelina_Jolie,Angelina_Jolie,0.6461703181266785,1,13.45180709993026,12.61955788755435,16.801760747925144,57.12687426459025
data/dataset_10/val\Angelina_Jolie\Angelina_Jolie_0008.jpg,Angelina_Jolie,Angelina_Jolie,0.6987180709838867,1,17.814301236943123,10.33331928519974,10.650053067063261,61.20232641079387
data/dataset_10/val\Angelina_Jolie\Angelina_Jolie_0009.jpg,Angelina_Jolie,Angelina_Jolie,0.2817683517932892,1,10.882883491182726,8.34205935449606,17.359082504909967,63.41597464941125
data/dataset_10/val\Ann_Veneman\Ann_Veneman_0001.jpg,Ann_Veneman,Ann_Veneman,0.9875205755233765,1,20.94080151402747,16.948767756724372,13.075071695808138,49.035359033440024
data/dataset_10/val\Ann_Veneman\Ann_Veneman_0002.jpg,Ann_Veneman,Ann_Veneman,0.9751440286636353,1,13.089150641647574,12.52743533797379,17.22061437795955,57.16279964241909
data/dataset_10/val\Ann_Veneman\Ann_Veneman_0011.jpg,Ann_Veneman,Ann_Veneman,0.9180770516395569,1,18.974207102234807,13.138594430393466,14.294024788866553,53.593173678505174
data/dataset_10/val\Anna_Kournikova\Anna_Kournikova_0001.jpg,Anna_Kournikova,Kim_Clijsters,0.3682669997215271,0,21.298906857033025,15.761201644493505,12.1180873507171,50.82180414775637
data/dataset_10/val\Anna_Kournikova\Anna_Kournikova_0002.jpg,Anna_Kournikova,Serena_Williams,0.36054864525794983,0,12.204969737894576,12.072171066909702,16.19448544093622,59.528373754259505
data/dataset_10/val\Anna_Kournikova\Anna_Kournikova_0011.jpg,Anna_Kournikova,Anna_Kournikova,0.36211201548576355,1,19.060568412853463,14.994248071787329,12.807821311414877,53.137362203944335
data/dataset_10/val\Ari_Fleischer\Ari_Fleischer_0001.jpg,Ari_Fleischer,John_Negroponte,0.4790899455547333,0,20.08214995235195,14.694612020750313,7.5373370371051145,57.68590098979262
data/dataset_10/val\Ari_Fleischer\Ari_Fleischer_0002.jpg,Ari_Fleischer,Ari_Fleischer,0.9356825947761536,1,21.599714090821884,5.974632485611972,6.963598036622636,65.4620553869435
data/dataset_10/val\Ari_Fleischer\Ari_Fleischer_0011.jpg,Ari_Fleischer,Ari_Fleischer,0.9801616072654724,1,21.684345184659396,15.839688600609703,9.488170631948737,52.98779558278216
data/dataset_10/val\Ariel_Sharon\Ariel_Sharon_0004.jpg,Ariel_Sharon,Ariel_Sharon,0.5379763841629028,1,15.366204131625834,16.736416608961285,14.767955743668598,53.129423515744286
data/dataset_10/val\Ariel_Sharon\Ariel_Sharon_0005.jpg,Ariel_Sharon,Ariel_Sharon,0.9895563721656799,1,16.158261717337542,16.64311298669691,13.95101910930857,53.247606186656974
data/dataset_10/val\Ariel_Sharon\Ariel_Sharon_0012.jpg,Ariel_Sharon,Ariel_Sharon,0.9951874017715454,1,11.262241186453917,12.061037046500918,16.16881907641157,60.5079026906336
data/dataset_10/val\Ariel_Sharon\Ariel_Sharon_0014.jpg,Ariel_Sharon,Ariel_Sharon,0.8234226107597351,1,13.600329312085783,13.741132536077286,15.437481637615207,57.22105651422172
data/dataset_10/val\Ariel_Sharon\Ariel_Sharon_0015.jpg,Ariel_Sharon,Ariel_Sharon,0.9882011413574219,1,15.319331521950852,16.267830018817765,14.725170541595073,53.68766791763631
data/dataset_10/val\Ariel_Sharon\Ariel_Sharon_0018.jpg,Ariel_Sharon,Ariel_Sharon,0.19368091225624084,1,19.875062450588533,14.38958331363906,10.438785330787006,55.2965689049854
