imagem,real,pred,confidence,correta,olhos,nariz,boca,fundo
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0001.jpg,Abdullah_Gul,Abdullah_Gul,0.9994124174118042,1,10.206391399732205,11.139000105380232,18.185956787074815,60.46865170781275
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0004.jpg,Abdullah_Gul,Abdullah_Gul,0.9987364411354065,1,7.866224858650235,9.676406811092953,19.03705519002149,63.42031314023532
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0008.jpg,Abdullah_Gul,Abdullah_Gul,0.9995262622833252,1,8.118686724554243,9.565958566128826,18.538534967716913,63.77681974160002
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0009.jpg,Abdullah_Gul,Abdullah_Gul,0.9983214735984802,1,9.18158246242979,10.687651144492957,18.75812728363879,61.37263910943847
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0001.jpg,Adrien_Brody,Adrien_Brody,0.9985213875770569,1,17.907107901395285,13.008921761782744,12.3295613995646,56.75440893725737
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0002.jpg,Adrien_Brody,Adrien_Brody,0.5087334513664246,1,20.324593167196895,7.14264276262955,3.2729224541497457,69.2598416160238
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0011.jpg,Adrien_Brody,Adrien_Brody,0.8457264304161072,1,18.242663184390704,11.75423904185166,5.939137598167029,64.06396017559061
data/dataset_5/val\Ahmed_Chalabi\Ahmed_Chalabi_0001.jpg,Ahmed_Chalabi,Ahmed_Chalabi,0.2791087031364441,1,13.993867460464864,13.525853342852129,11.633681576240363,60.846597620442644
data/dataset_5/val\Ai_Sugiyama\Ai_Sugiyama_0001.jpg,Ai_Sugiyama,Ai_Sugiyama,0.4855482876300812,1,17.29660544253891,7.249335406401962,11.49584729653856,63.95821185452056
data/dataset_5/val\Al_Gore\Al_Gore_0001.jpg,Al_Gore,Al_Gore,0.6684215068817139,1,16.144224761696,16.29119481210192,16.123564867843427,51.44101555835865
data/dataset_5/val\Al_Gore\Al_Gore_0002.jpg,Al_Gore,Al_Gore,0.9805179834365845,1,12.743606529134667,13.993744776174848,17.781304333862813,55.48134436082767
data/dataset_5/val\Al_Sharpton\Al_Sharpton_0001.jpg,Al_Sharpton,Al_Sharpton,0.327126145362854,1,12.204123979267449,13.625593667270865,17.413387329757658,56.756895023704026
data/dataset_5/val\Al_Sharpton\Al_Sharpton_0006.jpg,Al_Sharpton,Al_Sharpton,0.9125341773033142,1,11.309296275142811,13.694073768262168,16.677570507717526,58.319059448877496
data/dataset_5/val\Alan_Greenspan\Alan_Greenspan_0001.jpg,Alan_Greenspan,Alan_Greenspan,0.6646420955657959,1,11.981859714202857,13.519030135080369,18.410110775865316,56.08899937485146
