imagem,real,pred,confidence,correta,olhos,nariz,boca,fundo
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0001.jpg,Abdullah_Gul,Juan_Carlos_Ferrero,0.05979963019490242,0,22.555424011171834,10.013160576082633,4.116887869801412,63.31452754294412
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0004.jpg,Abdullah_Gul,Norah_Jones,0.03142751753330231,0,0.0,3.241440660071406,23.14522956991674,73.61332977001186
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0008.jpg,Abdullah_Gul,Hugo_Chavez,0.027178049087524414,0,8.19052116820978,4.038109039323161,20.18273278185163,67.58863701061543
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0009.jpg,Abdullah_Gul,Winona_Ryder,0.02610730193555355,0,0.0,5.9118755545315995,37.877548400334085,56.21057604513432
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0001.jpg,Adrien_Brody,David_Beckham,0.06679067760705948,0,15.75568873305349,17.355254789501153,12.518352917042519,54.37070356040284
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0002.jpg,Adrien_Brody,Kristanna_Loken,0.05186375603079796,0,12.617362376571142,14.233851558973518,16.85455354742242,56.294232517032924
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0011.jpg,Adrien_Brody,Laura_Bush,0.041612546890974045,0,2.2468228964063965,4.8533110174640415,24.817785670136903,68.08208041599266
data/dataset_5/val\Ahmed_Chalabi\Ahmed_Chalabi_0001.jpg,Ahmed_Chalabi,Junichiro_Koizumi,0.0376272015273571,0,19.9560377059959,5.690315602482938,5.119587275723852,69.2340594157973
data/dataset_5/val\Ai_Sugiyama\Ai_Sugiyama_0001.jpg,Ai_Sugiyama,Vladimir_Putin,0.07505050301551819,0,14.717061351086551,13.755618742324511,12.315466330199056,59.21185357638988
data/dataset_5/val\Al_Gore\Al_Gore_0001.jpg,Al_Gore,Lindsay_Davenport,0.03535395860671997,0,16.011620804820836,15.15430193737353,13.344648071049663,55.48942918675597
data/dataset_5/val\Al_Gore\Al_Gore_0002.jpg,Al_Gore,Hans_Blix,0.04451073706150055,0,9.73680794417738,11.570631996638294,18.86718218036448,59.82537787881984
data/dataset_5/val\Al_Sharpton\Al_Sharpton_0001.jpg,Al_Sharpton,Rubens_Barrichello,0.027550602331757545,0,22.73250682998444,10.932976412803447,7.1728177079725866,59.16169904923952
