imagem,real,pred,confidence,correta,olhos,nariz,boca,fundo
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Abdullah_Gul\Abdullah_Gul_0001.jpg,Abdullah_Gul,Abdullah_Gul,0.9711498618125916,1,13.345468648359056,7.400226706019408,17.001101874367926,62.25320277125361
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Abdullah_Gul\Abdullah_Gul_0004.jpg,Abdullah_Gul,Abdullah_Gul,0.8990699052810669,1,15.997302299834882,9.06150892071437,13.013922899678576,61.92726587977217
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Abdullah_Gul\Abdullah_Gul_0008.jpg,Abdullah_Gul,Abdullah_Gul,0.9725281596183777,1,16.91934032406974,8.764574194967695,14.607432854081047,59.708652626881516
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Abdullah_Gul\Abdullah_Gul_0009.jpg,Abdullah_Gul,Abdullah_Gul,0.9432418346405029,1,15.76587597536378,8.251189317156793,14.814122134192239,61.16881257328719
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Adrien_Brody\Adrien_Brody_0001.jpg,Adrien_Brody,Adrien_Brody,0.9795301556587219,1,17.38152020918583,13.852744154595953,13.057962950329028,55.70777268588919
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Adrien_Brody\Adrien_Brody_0002.jpg,Adrien_Brody,Adrien_Brody,0.9796769022941589,1,16.447565177443682,14.513963559154087,16.087963003101258,52.95050826030097
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Adrien_Brody\Adrien_Brody_0011.jpg,Adrien_Brody,Adrien_Brody,0.976700484752655,1,17.806479631334067,13.069973665500681,13.866993517216612,55.25655318594864
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0002.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9966318011283875,1,14.516886547200748,13.000029778412024,15.523334626616148,56.959749047771076
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0006.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9991700649261475,1,20.8212305225232,9.697865062891465,10.203395596200505,59.27750881838483
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0007.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9955731630325317,1,20.568235096170508,14.971927949748235,12.41533650488293,52.044500449198324
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0008.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9857856631278992,1,19.841655225093046,13.780276831909093,10.22225693821211,56.155811004785754
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0009.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9995703101158142,1,19.0024040634301,12.109848819564887,14.866996323863761,54.020750793141254
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0015.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9985511898994446,1,14.503294883171957,11.04249798886208,15.286278458641592,59.16792866932437
data_recortado/dataset_10_recortado/dataset_10_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0016.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9986644983291626,1,21.74367598480042,11.221643428843757,9.722268226097679,57.31241236025814
