imagem,real,pred,confidence,correta,olhos,nariz,boca,fundo
data_recortado/dataset_5_recortado/val\Abdullah_Gul\Abdullah_Gul_0001.jpg,Abdullah_Gul,Abdullah_Gul,0.9404026865959167,1,11.288936469154695,10.394480973664006,21.41818069882595,56.89840185835535
data_recortado/dataset_5_recortado/val\Abdullah_Gul\Abdullah_Gul_0004.jpg,Abdullah_Gul,Abdullah_Gul,0.9762417078018188,1,9.103091176293928,10.981306535389933,21.97009968783046,57.94550260048568
data_recortado/dataset_5_recortado/val\Abdullah_Gul\Abdullah_Gul_0008.jpg,Abdullah_Gul,Abdullah_Gul,0.966995120048523,1,9.374063380614585,10.699870856279295,22.19999254437959,57.726073218726526
data_recortado/dataset_5_recortado/val\Abdullah_Gul\Abdullah_Gul_0009.jpg,Abdullah_Gul,Abdullah_Gul,0.8689450621604919,1,12.490752473664973,12.883118120330654,20.79274094430794,53.83338846169643
data_recortado/dataset_5_recortado/val\Adrien_Brody\Adrien_Brody_0001.jpg,Adrien_Brody,Adrien_Brody,0.4940411448478699,1,16.0149060068687,13.833805522603463,14.360961507259754,55.790326963268086
data_recortado/dataset_5_recortado/val\Adrien_Brody\Adrien_Brody_0002.jpg,Adrien_Brody,Adrien_Brody,0.423438161611557,1,19.94175418013838,11.407244694508082,7.26454271370925,61.38645841164429
data_recortado/dataset_5_recortado/val\Adrien_Brody\Adrien_Brody_0011.jpg,Adrien_Brody,Adrien_Brody,0.39280372858047485,1,15.774457428584254,8.126444483343809,16.95812786085304,59.1409702272189
data_recortado/dataset_5_recortado/val\Ahmed_Chalabi\Ahmed_Chalabi_0001.jpg,Ahmed_Chalabi,Ahmed_Chalabi,0.05162232369184494,1,12.184537901197341,10.922542210911457,14.254446297147872,62.63847359074333
data_recortado/dataset_5_recortado/val\Ai_Sugiyama\Ai_Sugiyama_0001.jpg,Ai_Sugiyama,Ai_Sugiyama,0.08502890914678574,1,16.001917964225054,8.166566273573835,12.496600168070055,63.334915594131054
data_recortado/dataset_5_recortado/val\Al_Gore\Al_Gore_0001.jpg,Al_Gore,Bertie_Ahern,0.058700185269117355,0,13.703299184884116,14.88918812327809,16.55465298004255,54.85285971179524
data_recortado/dataset_5_recortado/val\Al_Gore\Al_Gore_0002.jpg,Al_Gore,Al_Gore,0.04533236846327782,1,14.512856206897432,20.029946669123145,22.75503615185261,42.70216097212681
data_recortado/dataset_5_recortado/val\Al_Sharpton\Al_Sharpton_0001.jpg,Al_Sharpton,Al_Sharpton,0.08012706786394119,1,12.389083005736964,13.855152456928975,14.912385162261323,58.84337937507274
data_recortado/dataset_5_recortado/val\Al_Sharpton\Al_Sharpton_0006.jpg,Al_Sharpton,Al_Sharpton,0.7691933512687683,1,11.059627790477137,11.67324800473878,13.922159842203682,63.344964362580406
data_recortado/dataset_5_recortado/val\Alan_Greenspan\Alan_Greenspan_0001.jpg,Alan_Greenspan,Alan_Greenspan,0.33707571029663086,1,14.365164268269131,15.421863079196406,11.451664434173239,58.76130821836122
data_recortado/dataset_5_recortado/val\Alastair_Campbell\Alastair_Campbell_0001.jpg,Alastair_Campbell,Alastair_Campbell,0.042519744485616684,1,18.14743250240758,16.221061764296003,13.490116364060386,52.14138936923603
data_recortado/dataset_5_recortado/val\Albert_Costa\Albert_Costa_0001.jpg,Albert_Costa,Albert_Costa,0.4774790108203888,1,20.757103754431153,16.516781416970016,11.328755188032696,51.39735964056614
data_recortado/dataset_5_recortado/val\Albert_Costa\Albert_Costa_0006.jpg,Albert_Costa,Albert_Costa,0.12379126250743866,1,19.927709583983226,10.361316863630588,8.533165237994119,61.17780831439207
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0002.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9765117764472961,1,20.234593291272983,18.032674790974596,8.743732911620468,52.988999006131955
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0006.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9760161638259888,1,20.20410744042745,18.645567560856836,9.63064289315868,51.51968210555703
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0007.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9842228293418884,1,18.997627334317766,19.07061903531721,10.980669513547726,50.9510841168173
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0008.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9282556176185608,1,19.641483665328547,14.88294380173395,7.6326746310602065,57.8428979018773
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0009.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9654211401939392,1,19.923377321986248,16.494941510284598,8.36742764632394,55.21425352140522
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0015.jpg,Alejandro_Toledo,Alejandro_Toledo,0.95902019739151,1,17.93022883792134,15.947410542848305,10.064930389980677,56.057430229249675
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0016.jpg,Alejandro_Toledo,Alejandro_Toledo,0.9822041392326355,1,21.756055851526284,19.337372878180524,8.888695684877376,50.017875585415815
data_recortado/dataset_5_recortado/val\Alejandro_Toledo\Alejandro_Toledo_0018.jpg,Alejandro_Toledo,Alejandro_Toledo,0.8536880612373352,1,17.828056300082128,16.467641360909987,10.757160946193654,54.94714139281423
data_recortado/dataset_5_recortado/val\Ali_Naimi\Ali_Naimi_0001.jpg,Ali_Naimi,Ali_Naimi,0.20916493237018585,1,9.693304749316496,9.973498379428912,14.980665582742699,65.3525312885119
data_recortado/dataset_5_recortado/val\Ali_Naimi\Ali_Naimi_0002.jpg,Ali_Naimi,Ali_Naimi,0.6593204140663147,1,11.830019739346595,12.257032950432793,14.784374664916625,61.12857264530399
data_recortado/dataset_5_recortado/val\Allyson_Felix\Allyson_Felix_0001.jpg,Allyson_Felix,Serena_Williams,0.16603142023086548,0,8.067787077725114,6.261261928410951,17.013121869769595,68.65782912409433
data_recortado/dataset_5_recortado/val\Alvaro_Uribe\Alvaro_Uribe_0002.jpg,Alvaro_Uribe,Alvaro_Uribe,0.18127243220806122,1,20.646833495228208,10.559465619842822,5.0618547859557905,63.73184609897318
data_recortado/dataset_5_recortado/val\Alvaro_Uribe\Alvaro_Uribe_0005.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9691082835197449,1,21.06674507200683,8.487461439994595,6.1677572548770465,64.27803623312153
data_recortado/dataset_5_recortado/val\Alvaro_Uribe\Alvaro_Uribe_0008.jpg,Alvaro_Uribe,Alvaro_Uribe,0.8361346125602722,1,18.962271717369408,12.8798614879004,9.173250628086707,58.984616166643484
data_recortado/dataset_5_recortado/val\Alvaro_Uribe\Alvaro_Uribe_0016.jpg,Alvaro_Uribe,Alvaro_Uribe,0.910548985004425,1,22.151713368881623,9.330309533872457,4.580933872670391,63.937043224575525
data_recortado/dataset_5_recortado/val\Alvaro_Uribe\Alvaro_Uribe_0018.jpg,Alvaro_Uribe,Alvaro_Uribe,0.8222947120666504,1,22.876966208080887,7.1344266440807615,3.6950646576256934,66.29354249021266
data_recortado/dataset_5_recortado/val\Alvaro_Uribe\Alvaro_Uribe_0024.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9107314348220825,1,23.356766524363472,11.91416401408553,5.940913003481013,58.788156458069984
data_recortado/dataset_5_recortado/val\Alvaro_Uribe\Alvaro_Uribe_0035.jpg,Alvaro_Uribe,Alvaro_Uribe,0.5133818984031677,1,22.174185089370134,7.700285538961697,5.1779891339374915,64.94754023773068
data_recortado/dataset_5_recortado/val\Amelia_Vega\Amelia_Vega_0001.jpg,Amelia_Vega,Amelia_Vega,0.23025012016296387,1,20.997213526429604,12.443206910689504,6.267337611456433,60.29224195142446
data_recortado/dataset_5_recortado/val\Amelia_Vega\Amelia_Vega_0006.jpg,Amelia_Vega,Amelia_Vega,0.19638407230377197,1,23.38993639084898,11.494194788178078,6.568215327826954,58.54765349314599
data_recortado/dataset_5_recortado/val\Amelie_Mauresmo\Amelie_Mauresmo_0001.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.43643078207969666,1,18.71030662084386,14.138653089392893,9.651901554462697,57.499138735300555
data_recortado/dataset_5_recortado/val\Amelie_Mauresmo\Amelie_Mauresmo_0004.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.9014104008674622,1,21.902465381975027,13.134114421189418,7.390336447057174,57.57308374977838
data_recortado/dataset_5_recortado/val\Amelie_Mauresmo\Amelie_Mauresmo_0008.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.9164882898330688,1,21.08846184407394,12.843647727720183,9.021124710578349,57.04676571762753
data_recortado/dataset_5_recortado/val\Amelie_Mauresmo\Amelie_Mauresmo_0009.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.9185394048690796,1,21.377173165230992,14.889782062701975,7.79626648884171,55.93677828322532
data_recortado/dataset_5_recortado/val\Amelie_Mauresmo\Amelie_Mauresmo_0021.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.07300889492034912,1,15.46322086601877,11.029837687775458,7.666675986736338,65.84026545946944
data_recortado/dataset_5_recortado/val\Ana_Guevara\Ana_Guevara_0001.jpg,Ana_Guevara,Ana_Guevara,0.10098152607679367,1,14.407297621427634,3.4830149072377434,7.159986916117929,74.9497005552167
data_recortado/dataset_5_recortado/val\Ana_Guevara\Ana_Guevara_0006.jpg,Ana_Guevara,Ana_Guevara,0.085286445915699,1,14.262857344779938,10.556963122050506,13.083379264882227,62.09680026828733
data_recortado/dataset_5_recortado/val\Ana_Palacio\Ana_Palacio_0001.jpg,Ana_Palacio,Ana_Palacio,0.040348466485738754,1,18.50098949238279,8.576031091531311,8.784145686108934,64.13883372997697
data_recortado/dataset_5_recortado/val\Ana_Palacio\Ana_Palacio_0002.jpg,Ana_Palacio,Ana_Palacio,0.155503049492836,1,18.95674341431084,12.372317051119504,8.896672460650441,59.77426707391922
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0002.jpg,Andre_Agassi,Andre_Agassi,0.9026922583580017,1,14.869823792662476,12.757013561893777,13.81893487099504,58.554227774448705
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0004.jpg,Andre_Agassi,Andre_Agassi,0.9277423024177551,1,13.773345187302104,14.975918537420455,16.437579398233858,54.81315687704358
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0005.jpg,Andre_Agassi,Andre_Agassi,0.11606043577194214,1,8.489386338021324,6.1071550218179524,16.69605595871549,68.70740268144523
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0008.jpg,Andre_Agassi,Andre_Agassi,0.9403555393218994,1,12.06571316127603,13.570507696018403,17.351061908211122,57.012717234494446
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0015.jpg,Andre_Agassi,Andre_Agassi,0.9585140347480774,1,15.306769654692408,16.29574959271615,14.507795890953087,53.88968486163836
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0016.jpg,Andre_Agassi,Andre_Agassi,0.981363832950592,1,12.774944850480983,13.702172135196776,15.705535585119746,57.8173474292025
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0018.jpg,Andre_Agassi,Andre_Agassi,0.9536443948745728,1,14.663511254416454,16.029202133746338,18.17796881768232,51.129317794154886
data_recortado/dataset_5_recortado/val\Andre_Agassi\Andre_Agassi_0024.jpg,Andre_Agassi,Andre_Agassi,0.9714284539222717,1,15.131172645347247,15.48619790991402,15.984658459012831,53.397970985725905
data_recortado/dataset_5_recortado/val\Andy_Roddick\Andy_Roddick_0001.jpg,Andy_Roddick,Andy_Roddick,0.597683310508728,1,16.771930696201437,17.71987947287085,16.13210485333952,49.37608497758819
data_recortado/dataset_5_recortado/val\Andy_Roddick\Andy_Roddick_0002.jpg,Andy_Roddick,Amelie_Mauresmo,0.0829022005200386,0,22.345567965866508,14.470392455238647,9.265476019756994,53.91856355913785
