imagem,real,pred,confidence,correta,olhos,nariz,boca,fundo
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0001.jpg,Abdullah_Gul,Abdullah_Gul,0.5685870051383972,1,9.248726299231976,7.687420034589032,18.873459431936595,64.19039423424239
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0004.jpg,Abdullah_Gul,Abdullah_Gul,0.6962251663208008,1,4.5271320017138486,8.564799884104268,25.280087800287248,61.62798031389463
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0008.jpg,Abdullah_Gul,Abdullah_Gul,0.21660779416561127,1,2.646982657297985,5.694180324755341,26.43726203638265,65.22157498156402
data/dataset_5/val\Abdullah_Gul\Abdullah_Gul_0009.jpg,Abdullah_Gul,Hamid_Karzai,0.11886268109083176,0,8.230559548558361,11.951046793141971,23.208378055335757,56.61001560296391
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0001.jpg,Adrien_Brody,Adrien_Brody,0.727025032043457,1,20.92983265453422,19.488608298987167,15.161863917740567,44.41969512873805
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0002.jpg,Adrien_Brody,Alvaro_Uribe,0.10012240707874298,0,24.64257835786831,21.230838850465304,8.764468421059627,45.36211437060676
data/dataset_5/val\Adrien_Brody\Adrien_Brody_0011.jpg,Adrien_Brody,Adrien_Brody,0.13468536734580994,1,19.97562001440502,18.09879598195853,14.888801833247149,47.0367821703893
data/dataset_5/val\Ahmed_Chalabi\Ahmed_Chalabi_0001.jpg,Ahmed_Chalabi,Rudolph_Giuliani,0.43809783458709717,0,13.457491406549277,15.734814886052927,21.332363776446446,49.47532993095135
data/dataset_5/val\Ai_Sugiyama\Ai_Sugiyama_0001.jpg,Ai_Sugiyama,Claudia_Pechstein,0.1152007207274437,0,22.249344340462265,15.835498144856814,9.057856262556797,52.857301252124124
data/dataset_5/val\Al_Gore\Al_Gore_0001.jpg,Al_Gore,Charles_Moose,0.3372459411621094,0,21.013004334046745,13.29472573331018,7.927573789716016,57.76469614292706
data/dataset_5/val\Al_Gore\Al_Gore_0002.jpg,Al_Gore,Al_Gore,0.21012477576732635,1,14.501899879773811,17.59816149556476,16.24942906290381,51.650509561757616
data/dataset_5/val\Al_Sharpton\Al_Sharpton_0001.jpg,Al_Sharpton,Charles_Taylor,0.6858178973197937,0,7.463052385067196,11.35312814988429,22.73878856062727,58.44503090442125
data/dataset_5/val\Al_Sharpton\Al_Sharpton_0006.jpg,Al_Sharpton,Roh_Moo-hyun,0.2838340699672699,0,21.824414983262372,25.573902014033795,14.271672878076485,38.33001012462734
data/dataset_5/val\Alan_Greenspan\Alan_Greenspan_0001.jpg,Alan_Greenspan,Hans_Blix,0.20338734984397888,0,17.6730584107602,12.718840976382603,14.41313476158812,55.19496585126908
data/dataset_5/val\Alastair_Campbell\Alastair_Campbell_0001.jpg,Alastair_Campbell,William_Macy,0.17275266349315643,0,22.41224859004444,13.067555803636985,12.218188954907488,52.302006651411084
data/dataset_5/val\Albert_Costa\Albert_Costa_0001.jpg,Albert_Costa,Juan_Pablo_Montoya,0.12655074894428253,0,16.35800583837799,16.56174460866124,16.451907137512425,50.628342415448344
data/dataset_5/val\Albert_Costa\Albert_Costa_0006.jpg,Albert_Costa,George_Clooney,0.07759533077478409,0,12.340741285188845,11.247124850102466,19.739465098343643,56.67266876636505
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0002.jpg,Alejandro_Toledo,Roh_Moo-hyun,0.20021358132362366,0,10.884863616483997,13.822105458747616,18.079138903282818,57.21389202148558
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0006.jpg,Alejandro_Toledo,Roh_Moo-hyun,0.07568033039569855,0,22.76543433456504,23.42227213492028,10.197176166032088,43.61511736448259
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0007.jpg,Alejandro_Toledo,Alejandro_Toledo,0.8801814317703247,1,13.828324049886001,15.09024519863215,18.192712644547516,52.888718106934334
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0008.jpg,Alejandro_Toledo,Arnold_Schwarzenegger,0.21252749860286713,0,17.58359878250642,12.168394617014172,13.965187481989723,56.282819118489684
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0009.jpg,Alejandro_Toledo,Mahathir_Mohamad,0.08464889973402023,0,22.17517332802126,11.480212177936437,7.996935247667072,58.34767924637523
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0015.jpg,Alejandro_Toledo,Alejandro_Toledo,0.4371206760406494,1,18.648242320723863,17.761801036610482,17.74661059575205,45.84334604691361
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0016.jpg,Alejandro_Toledo,Alejandro_Toledo,0.5771871209144592,1,16.59826712344294,16.353859548957796,19.067114815730815,47.980758511868444
data/dataset_5/val\Alejandro_Toledo\Alejandro_Toledo_0018.jpg,Alejandro_Toledo,Mahathir_Mohamad,0.16316542029380798,0,22.493248002300707,12.856156321736353,11.471181921609045,53.179413754353895
data/dataset_5/val\Ali_Naimi\Ali_Naimi_0001.jpg,Ali_Naimi,George_W_Bush,0.5970478653907776,0,22.744868697985755,10.91477676592668,8.977862729037982,57.36249180704959
data/dataset_5/val\Ali_Naimi\Ali_Naimi_0002.jpg,Ali_Naimi,George_W_Bush,0.41416728496551514,0,17.52018797204944,16.066718003919096,16.859789982951362,49.553304041080104
data/dataset_5/val\Allyson_Felix\Allyson_Felix_0001.jpg,Allyson_Felix,Allyson_Felix,0.7736356258392334,1,8.312723358695933,7.34885021556862,20.97735219372706,63.361074232008384
data/dataset_5/val\Alvaro_Uribe\Alvaro_Uribe_0002.jpg,Alvaro_Uribe,Jiang_Zemin,0.22312681376934052,0,20.05427981598561,9.297487620388537,9.456716343140275,61.19151622048558
data/dataset_5/val\Alvaro_Uribe\Alvaro_Uribe_0005.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9788177609443665,1,17.010460783611368,17.885579517819355,15.647330132638873,49.456629565930406
data/dataset_5/val\Alvaro_Uribe\Alvaro_Uribe_0008.jpg,Alvaro_Uribe,Mahathir_Mohamad,0.13730792701244354,0,19.045999163255807,16.96439948498507,14.936229082966614,49.05337226879251
data/dataset_5/val\Alvaro_Uribe\Alvaro_Uribe_0016.jpg,Alvaro_Uribe,Alvaro_Uribe,0.20522190630435944,1,15.46160690289418,17.335119024267186,15.574032053628947,51.629242019209684
data/dataset_5/val\Alvaro_Uribe\Alvaro_Uribe_0018.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9875934720039368,1,20.28363803888487,18.879029655147928,12.455049348519298,48.3822829574479
data/dataset_5/val\Alvaro_Uribe\Alvaro_Uribe_0024.jpg,Alvaro_Uribe,Alvaro_Uribe,0.9923418760299683,1,13.933166450233168,11.279451967964137,14.714452853105767,60.07292872869693
data/dataset_5/val\Alvaro_Uribe\Alvaro_Uribe_0035.jpg,Alvaro_Uribe,Alvaro_Uribe,0.8640099763870239,1,14.398969887658245,13.857158047758526,14.833425317457516,56.91044674712571
data/dataset_5/val\Amelia_Vega\Amelia_Vega_0001.jpg,Amelia_Vega,Amelia_Vega,0.7273018956184387,1,24.501895098635917,12.598660514338661,9.058890942441236,53.84055344458419
data/dataset_5/val\Amelia_Vega\Amelia_Vega_0006.jpg,Amelia_Vega,Amelia_Vega,0.44184404611587524,1,21.152066661123914,16.87449131365532,11.802889248407523,50.170552776813246
data/dataset_5/val\Amelie_Mauresmo\Amelie_Mauresmo_0001.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.5699784159660339,1,16.524141127755406,17.877465684576677,18.803453514960484,46.794939672707436
data/dataset_5/val\Amelie_Mauresmo\Amelie_Mauresmo_0004.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.4639381170272827,1,15.925374070627504,15.94554412940226,17.61372405828642,50.515357741683815
data/dataset_5/val\Amelie_Mauresmo\Amelie_Mauresmo_0008.jpg,Amelie_Mauresmo,Jelena_Dokic,0.6324806809425354,0,14.413356807339715,14.174584765516348,17.376035305273557,54.03602312187038
data/dataset_5/val\Amelie_Mauresmo\Amelie_Mauresmo_0009.jpg,Amelie_Mauresmo,Amelie_Mauresmo,0.9924026727676392,1,17.455666735177356,15.321295679673968,13.621562993493088,53.60147459165559
data/dataset_5/val\Amelie_Mauresmo\Amelie_Mauresmo_0021.jpg,Amelie_Mauresmo,George_W_Bush,0.12822598218917847,0,8.053066811039754,10.240719006611606,21.45038365635607,60.25583052599257
data/dataset_5/val\Ana_Guevara\Ana_Guevara_0001.jpg,Ana_Guevara,Jennifer_Capriati,0.21202898025512695,0,19.392890059214945,10.800123401433698,11.651276603159001,58.15570993619235
data/dataset_5/val\Ana_Guevara\Ana_Guevara_0006.jpg,Ana_Guevara,Ana_Guevara,0.26004645228385925,1,16.51707178428296,18.588551615086917,16.25031430174536,48.644062298884755
data/dataset_5/val\Ana_Palacio\Ana_Palacio_0001.jpg,Ana_Palacio,Alvaro_Uribe,0.2974953055381775,0,14.774923595351446,18.357969601334304,17.09551673990021,49.77159006341404
data/dataset_5/val\Ana_Palacio\Ana_Palacio_0002.jpg,Ana_Palacio,Ana_Palacio,0.5786858797073364,1,21.704111905007988,14.302909498023688,10.290432574276007,53.70254602269232
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0002.jpg,Andre_Agassi,Andre_Agassi,0.6738814115524292,1,17.494224652029796,10.280060379423924,15.207871585252933,57.01784338329335
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0004.jpg,Andre_Agassi,John_Travolta,0.1701904535293579,0,20.057304481052704,11.466305416790002,12.290293207989754,56.18609689416754
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0005.jpg,Andre_Agassi,Colin_Powell,0.10049780458211899,0,0.5407851667713166,6.1249510550437085,38.77673661104367,54.55752716714131
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0008.jpg,Andre_Agassi,Andre_Agassi,0.9007083773612976,1,15.414019716582391,14.11010505042216,14.194581737444723,56.28129349555073
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0015.jpg,Andre_Agassi,Andre_Agassi,0.9645703434944153,1,20.311292478953938,16.65219946240421,8.746233024723542,54.29027503391831
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0016.jpg,Andre_Agassi,Andre_Agassi,0.9639902114868164,1,21.733819587482085,16.90345534777149,9.97121144173169,51.39151362301473
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0018.jpg,Andre_Agassi,Andre_Agassi,0.8294100761413574,1,16.310725443191025,14.567979844255998,13.023366265723867,56.09792844682911
data/dataset_5/val\Andre_Agassi\Andre_Agassi_0024.jpg,Andre_Agassi,John_Howard,0.3958139717578888,0,16.001860432445678,15.293659451811548,14.51150594252002,54.19297417322276
data/dataset_5/val\Andy_Roddick\Andy_Roddick_0001.jpg,Andy_Roddick,Juan_Pablo_Montoya,0.11084561049938202,0,18.80278252231177,3.101377173419452,9.726405647927995,68.36943465634079
data/dataset_5/val\Andy_Roddick\Andy_Roddick_0002.jpg,Andy_Roddick,Andy_Roddick,0.22758078575134277,1,12.783938611609429,11.625683620161286,15.535003095948662,60.05537467228062
data/dataset_5/val\Andy_Roddick\Andy_Roddick_0011.jpg,Andy_Roddick,Andy_Roddick,0.36294054985046387,1,14.029407272692326,13.84884221517559,16.56883011856619,55.5529203935659
data/dataset_5/val\Angela_Bassett\Angela_Bassett_0001.jpg,Angela_Bassett,Angela_Bassett,0.7915587425231934,1,4.6725570462211,5.772827612502375,23.100536387825006,66.45407895345151
data/dataset_5/val\Angela_Bassett\Angela_Bassett_0006.jpg,Angela_Bassett,Angela_Bassett,0.5411846041679382,1,5.751726231110241,8.672996090535328,22.34670945401917,63.22856822433526
data/dataset_5/val\Angela_Merkel\Angela_Merkel_0001.jpg,Angela_Merkel,Angela_Merkel,0.912121593952179,1,20.805340487060793,14.525452796888528,8.920712118763877,55.7484945972868
data/dataset_5/val\Angelina_Jolie\Angelina_Jolie_0001.jpg,Angelina_Jolie,Angelina_Jolie,0.841586709022522,1,23.58732522781244,15.294982925482289,12.936965729988668,48.180726116716606
data/dataset_5/val\Angelina_Jolie\Angelina_Jolie_0004.jpg,Angelina_Jolie,Angelina_Jolie,0.21079938113689423,1,18.368151794418335,13.521520616143615,14.344021716650865,53.766305872787186
data/dataset_5/val\Angelina_Jolie\Angelina_Jolie_0008.jpg,Angelina_Jolie,Julianne_Moore,0.30890458822250366,0,21.79896042352457,12.472876327395852,7.390601557073677,58.3375616920059
data/dataset_5/val\Angelina_Jolie\Angelina_Jolie_0009.jpg,Angelina_Jolie,Madonna,0.5443004369735718,0,19.778163623543374,15.835725303407425,9.829646076382296,54.556464996666904
data/dataset_5/val\Ann_Veneman\Ann_Veneman_0001.jpg,Ann_Veneman,Ann_Veneman,0.6381860375404358,1,20.89824010373644,16.52586663918038,11.900898337569497,50.674994919513686
data/dataset_5/val\Ann_Veneman\Ann_Veneman_0002.jpg,Ann_Veneman,Liza_Minnelli,0.4231966435909271,0,19.326876470220544,15.436710141417487,11.298834381173744,53.937579007188226
data/dataset_5/val\Ann_Veneman\Ann_Veneman_0011.jpg,Ann_Veneman,Ann_Veneman,0.46616068482398987,1,18.69535830089415,11.860734995510288,13.446130390892211,55.99777631270335
data/dataset_5/val\Anna_Kournikova\Anna_Kournikova_0001.jpg,Anna_Kournikova,Jelena_Dokic,0.3125382363796234,0,13.74956700297675,11.754776824878764,18.411424264761198,56.08423190738329
data/dataset_5/val\Anna_Kournikova\Anna_Kournikova_0002.jpg,Anna_Kournikova,Jelena_Dokic,0.7389616370201111,0,13.955108839575036,14.062983523484798,17.391389913601582,54.590517723338586
data/dataset_5/val\Anna_Kournikova\Anna_Kournikova_0011.jpg,Anna_Kournikova,Anna_Kournikova,0.29780688881874084,1,19.98368287612081,16.297695777773697,11.917556362665096,51.8010649834404
data/dataset_5/val\Antonio_Banderas\Antonio_Banderas_0001.jpg,Antonio_Banderas,Hamid_Karzai,0.15901140868663788,0,5.0710998255765665,9.351099496716305,25.42200207434746,60.15579860335967
data/dataset_5/val\Antonio_Palocci\Antonio_Palocci_0001.jpg,Antonio_Palocci,Antonio_Palocci,0.6743329167366028,1,7.4406190564140395,11.288715340423604,22.53274307611239,58.73792252704997
data/dataset_5/val\Antonio_Palocci\Antonio_Palocci_0002.jpg,Antonio_Palocci,Antonio_Palocci,0.4291195869445801,1,7.106714260514306,9.386484390438957,22.05102316574392,61.45577818330282
data/dataset_5/val\Ari_Fleischer\Ari_Fleischer_0001.jpg,Ari_Fleischer,Richard_Armitage,0.4077468514442444,0,19.22926157960142,15.170425224520601,12.36948111734929,53.23083207852869
data/dataset_5/val\Ari_Fleischer\Ari_Fleischer_0002.jpg,Ari_Fleischer,Ari_Fleischer,0.919956624507904,1,21.871704644064284,4.609821840656559,5.010390111141196,68.50808340413796
data/dataset_5/val\Ari_Fleischer\Ari_Fleischer_0011.jpg,Ari_Fleischer,Ari_Fleischer,0.9367648959159851,1,19.98657679134321,13.254416404295421,10.334960302876427,56.42404650148494
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0004.jpg,Ariel_Sharon,Kofi_Annan,0.48912617564201355,0,11.639889608504971,14.070192293877064,18.442076285919978,55.84784181169799
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0005.jpg,Ariel_Sharon,Ariel_Sharon,0.9767281413078308,1,16.61908071575462,18.304005325398727,15.292674024034321,49.78423993481233
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0012.jpg,Ariel_Sharon,Ariel_Sharon,0.9969474673271179,1,11.417467162229803,12.166757689733917,15.924321756340298,60.491453391695984
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0014.jpg,Ariel_Sharon,Ariel_Sharon,0.7243292927742004,1,16.778219133110174,15.706612405024318,14.372686795558625,53.142481666306885
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0015.jpg,Ariel_Sharon,Ariel_Sharon,0.9711889624595642,1,15.797351154964767,17.33057173939662,14.762377602489291,52.10969950314932
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0018.jpg,Ariel_Sharon,John_Paul_II,0.1600656509399414,0,17.944463050277932,18.019951877585576,18.519291899780495,45.516293172356
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0028.jpg,Ariel_Sharon,Ariel_Sharon,0.6975443363189697,1,17.874357560302027,19.551810480995066,14.021333914735362,48.552498043967546
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0029.jpg,Ariel_Sharon,Ariel_Sharon,0.6560512185096741,1,17.959185263476463,15.67447824721699,15.275947379870242,51.0903891094363
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0032.jpg,Ariel_Sharon,Ariel_Sharon,0.9877486824989319,1,14.723847861968245,15.93876193324616,17.892075475176046,51.44531472960955
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0033.jpg,Ariel_Sharon,Ariel_Sharon,0.9081874489784241,1,17.194669032610296,16.32845691255711,13.317007692431757,53.159866362400834
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0036.jpg,Ariel_Sharon,Ariel_Sharon,0.7170265913009644,1,15.575195676426159,17.99005000130468,17.522733632105247,48.912020690163914
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0055.jpg,Ariel_Sharon,Ariel_Sharon,0.43345993757247925,1,15.082384686826574,14.102998088413196,18.108954985332453,52.705662239427774
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0069.jpg,Ariel_Sharon,Ariel_Sharon,0.9866251945495605,1,13.68272598438116,16.178456013031116,16.87748327514426,53.26133472744346
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0070.jpg,Ariel_Sharon,Ariel_Sharon,0.8458335995674133,1,15.008587700365227,17.408549376028787,15.3564632343471,52.22639968925888
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0076.jpg,Ariel_Sharon,Ariel_Sharon,0.7669798135757446,1,12.606016341054687,15.228794255077638,16.309172771461142,55.85601663240653
data/dataset_5/val\Ariel_Sharon\Ariel_Sharon_0077.jpg,Ariel_Sharon,Ariel_Sharon,0.9022613763809204,1,17.895873456860233,18.730834881191505,16.90728849318994,46.46600316875832
data/dataset_5/val\Arminio_Fraga\Arminio_Fraga_0001.jpg,Arminio_Fraga,Fidel_Castro,0.08724510669708252,0,13.798750626304187,12.609107722938022,17.13981446394489,56.4523271868129
data/dataset_5/val\Arminio_Fraga\Arminio_Fraga_0006.jpg,Arminio_Fraga,Hamid_Karzai,0.11262225359678268,0,13.6869311520564,15.840617678709176,20.54647305591258,49.92597811332185
data/dataset_5/val\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0002.jpg,Arnold_Schwarzenegger,Arnold_Schwarzenegger,0.6551384329795837,1,17.430448909335365,18.669357521207196,10.830081957286275,53.07011161217117
data/dataset_5/val\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0006.jpg,Arnold_Schwarzenegger,Juan_Pablo_Montoya,0.3289249837398529,0,14.362211837583386,11.476806046957424,18.834299173924833,55.32668294153436
data/dataset_5/val\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0007.jpg,Arnold_Schwarzenegger,Arnold_Schwarzenegger,0.8616302609443665,1,11.308177979113538,13.369855697749436,17.174211719180736,58.147754603956294
data/dataset_5/val\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0008.jpg,Arnold_Schwarzenegger,Claudia_Pechstein,0.18813428282737732,0,25.23702115083467,14.706276320298649,6.494524916404033,53.56217761246265
data/dataset_5/val\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0009.jpg,Arnold_Schwarzenegger,Arnold_Schwarzenegger,0.43304261565208435,1,17.913158236572507,19.008807381339555,12.77834681695785,50.29968756513009
